iter	Accuracy	MultiClass
166	0.9990892532	0.270686241
167	0.9990892532	0.2690835082
168	0.9990892532	0.2654515469
169	0.9990892532	0.2641364809
170	0.9990892532	0.2613434055
171	0.9990892532	0.2609985384
172	0.9990892532	0.260503545
173	0.9990892532	0.256373616
174	1	0.2544030285
175	0.9990892532	0.2537898237
176	1	0.252079552
177	1	0.2509466891
178	1	0.2494142249
179	1	0.2475861087
180	1	0.2457168722
181	1	0.2429507124
182	1	0.2416213038
183	1	0.240441612
184	1	0.239421372
185	1	0.2348206736
186	1	0.2323799868
187	1	0.2312000674
188	1	0.2275925413
189	1	0.2246493405
190	1	0.2230395175
191	1	0.2210169389
192	1	0.2187563651
193	1	0.2150150973
194	1	0.2133469151
195	1	0.2124629013
196	1	0.2095199273
197	1	0.2066010955
198	1	0.2054808434
199	1	0.2049712884
200	1	0.203959353
201	1	0.2032470243
202	1	0.2013725627
203	1	0.1968715876
204	1	0.1960175466
205	1	0.1955313041
206	1	0.1952940567
